Type,Number,Title,MajorReq,Credits,ClassId,CreatedDate,ModifiedDate
ENG,1010,Composing Arguments,GS-WC,3,ENG1010,,
ENG ,1020,Freshman Comp: Anal Rserch & Docum.,GS-WC,3,ENG 1020,,
SPE,1010,Public Speaking,GS-OC,3,SPE1010,,
MTH,1310,Finite Math for Mgt. & Social Studies,GS-MTH,4,MTH1310,,
PHI,3360,Business Ethics,GS-A&H,3,PHI3360,,
ECO,2010,Principles of Macroeconomics,GS-S&BS,3,ECO2010,,
ECO,2020,Principles of Microeconomics,GS-S&BS,3,ECO2020,,
PSC,1010,American National Government,GS-HIS,3,PSC1010,,
MTH,1320,Calculus for Management and Social Sciences,GS-MTH,3,MTH1320,,
HIS,,3 CREDITS??,GS-HIS,3,HIS,,
Natural & Physical Studies,,6 CREDITS??,GS-N&PS,,GNPS,,
Arts & Humanities,,3 CREDITS??,GS-A&H,,GSAH,,
Global Diversity,,Satisfied other?,GS-GD,,GSGD,,
Multicultural,,Satisfied other?,GS-MC,,GSMC,,
ACC,2010,Principles of Accounting 1,BC,3,ACC2010,,
ACC,2020,Principles of Accounting 2,BC,3,ACC2020,,
CIS,2010,Foundation of Information Systems,BC,3,CIS2010,,
CIS,3300,Managerial Statistics,BC,3,CIS3300,,
CIS,3320,Management Science,BC,3,CIS3320,,
FIN,3300,Managerial Finance,BC,3,FIN3300,,
MGT,2210,Legal Environment of Business,BC,3,MGT2210,,
MGT,3000,Organizational Management,BC,3,MGT3000,,
MKT,2040,Business Communication,BC,3,MKT2040,,
MKT,3000,Principles of Marketing,BC,3,MKT3000,,
MGT,4950,Strategic Management,BC,3,MGT4950,,
ACC,3090,Income Tax,BS-ACC,3,ACC3090,,
ACC,3300,Accounting Info,BS-ACC,3,ACC3300,,
ACC,3400,Cost Accounting,BS-ACC,3,ACC3400,,
ACC,3510,Intermediate Accounting 1,BS-ACC,3,ACC3510,,
ACC,3520,Intermediate Accounting 2,BS-ACC,3,ACC3520,,
ACC,4200,Auditing,BS-ACC,3,ACC4200,,
ACC,3100,Income Tax 2,BS-ACC-E,3,ACC3100,,
ACC,3110,Volunteer Income Tax,BS-ACC-E,3,ACC3110,,
ACC,3200,Governmental Accounting,BS-ACC-E,3,ACC3200,,
ACC,3410,Acdvanced Cost Accounting,BS-ACC-E,3,ACC3410,,
ACC,3750,Internship,BS-ACC-E,3,ACC3750,,
ACC,3980,Advanced Accounting,BS-ACC-E,3,ACC3980,,
ACC,4700,Internal Auditing,BS-ACC-E,3,ACC4700,,
MGT,3020,Entrepenuers: Cases and Studies,BS-MGT,3,MGT3020,,
MGT,3220,Legal Environment of Business 2,BS-MGT,3,MGT3220,,
MGT,3530,Human resources Management,BS-MGT,3,MGT3530,,
MGT,3550,Operations Management,BS-MGT,3,MGT3550,,
MGT,3820,International Business,BS-MGT,3,MGT3820,,
MGT,4530,Organizational Behavior,BS-MGT,3,MGT4530,,
MGT,3230,International Business Law,BS-MGT-E,3,MGT3230,,
MGT,3240,Employment and HR law,BS-MGT-E,3,MGT3240,,
MGT,3250,Colorado Water Law and Water Rights Administration,BS-MGT-E,3,MGT3250,,
MGT,4030,Organizational Development and Change,BS-MGT-E,3,MGT4030,,
MGT,4050,Purchasing and Supply Chain Management ,BS-MGT-E,3,MGT4050,,
MGT,4420,Entrepenurial Business Planning,BS-MGT-E,3,MGT4420,,
MGT,4550,Project Management,BS-MGT-E,3,MGT4550,,
MGT,4610,Labor/Employee Relations,BS-MGT-E,3,MGT4610,,
MGT,4620,Performance Management and Rewards Systems,BS-MGT-E,3,MGT4620,,
MGT,4640,Employee Training and Development ,BS-MGT-E,3,MGT4640,,
MGT,4830,Workforce Diversity,BS-MGT-E,3,MGT4830,,
MGT,4850,Organizational Mgmt and Consulting ,BS-MGT-E,3,MGT4850,,
MGT,3850,Global Entrepreneurship,BS-MGT-E,3,MGT3850,,
MGT,4750,Advanced Topics in Management,BS-MGT-E,3,MGT4750,,
MGT,4660,Employee Selection,BS-MGT-E,3,MGT4660,,
FIN,3010,Financial Markets and Institutions,BS-FIN,3,FIN3010,,
FIN,3150,Personal Financial Planning,BS-FIN,3,FIN3150,,
FIN,3600,Investments,BS-FIN,3,FIN3600,,
FIN,3850,Intermediate Finance,BS-FIN,3,FIN3850,,
FIN,3040,??,BS-FIN-E,3,FIN3040,,
FIN,3020,??,BS-FIN-E,3,FIN3020,,
FIN,3030,??,BS-FIN-E,3,FIN3030,,
FIN,4600,Security Analysis and Portfolio Management,BS-FIN-E,3,FIN4600,,
FIN,4950,Financial Strategies and Policies,BS-FIN-E,3,FIN4950,,
CIS,2110,Structured Problem Solving in Information Systems,BS-CIS,3,CIS2110,,
CIS,3050,Fundamentals of System Analysis & Design,BS-CIS,3,CIS3050,,
CIS,3060,Database Management Systems,BS-CIS,3,CIS3060,,
CIS,3145,Business Application Development w/Java,BS-CIS,3,CIS3145,,
CIS,3230,Telecommunications Systems and Networking,BS-CIS,3,CIS3230,,
CIS,4050,Systems Analysis & Design,BS-CIS,3,CIS4050,,
CIS,3030,Business Website Development,BS-CIS-E,3,CIS3030,,
CIS,3220,Analysis of Hardware Software and User Interfaces for Microcomputer Platforms,BS-CIS-E,3,CIS3220,,
CIS,3270,Advanced Computer Applications for Bussiness,BS-CIS-E,3,CIS3270,,
CIS,3280,LAN& WAN Systems for Business,BS-CIS-E,3,CIS3280,,
CIS,3290,Operating Systems for End Users,BS-CIS-E,3,CIS3290,,
CIS,3460,Data Warehousing & Mining,BS-CIS-E,3,CIS3460,,
CIS,3490,Managing Business Information Enterprise Systems,BS-CIS-E,3,CIS3490,,
CIS,3500,Information Systems Security,BS-CIS-E,3,CIS3500,,
CIS,3980,Internship,BS-CIS-E,3,CIS3980,,
CIS,4030,Website Administration,BS-CIS-E,3,CIS4030,,
CIS,4060,Advanced Database Management,BS-CIS-E,3,CIS4060,,
CIS,4160,Advanced Programming Seminar,BS-CIS-E,3,CIS4160,,
CIS,4260,Database Administration,BS-CIS-E,3,CIS4260,,
CIS,4280,Network Installation & Administration,BS-CIS-E,3,CIS4280,,
CIS,4281,Network Installation & Administration with Unix/Linux,BS-CIS-E,3,CIS4281,,
CIS,4410,Management Information Systems,BS-CIS-E,3,CIS4410,,
MKT,3010,Marketing Research,BS-MKT,3,MKT3010,,
MKT,3310,Consumer Behavior,BS-MKT,3,MKT3310,,
MKT,3710,International marketing,BS-MKT,3,MKT3710,,
MKT,4560,Marketing Strategy,BS-MKT,3,MKT4560,,
MKT,3100,Retail Marketing,BS-MKT-E,3,MKT3100,,
MKT,3110,Advertising Management,BS-MKT-E,3,MKT3110,,
MKT,3120,Promotional Strategy,BS-MKT-E,3,MKT3120,,
MKT,3140,Direct Marketing Management,BS-MKT-E,3,MKT3140,,
MKT,3160,Sales Management,BS-MKT-E,3,MKT3160,,
MKT,3180,Green Marketing,BS-MKT-E,3,MKT3180,,
MKT,3190,Social Marketing,BS-MKT-E,3,MKT3190,,
MKT,3250,Personal Selling,BS-MKT-E,3,MKT3250,,
MKT,3300,Marketing of Services,BS-MKT-E,3,MKT3300,,
MKT,3410,Marketing Logistics,BS-MKT-E,3,MKT3410,,
MKT,3500,Sport Marketing,BS-MKT-E,3,MKT3500,,
MKT,3550,Sport Sales,BS-MKT-E,3,MKT3550,,
MKT,3610,Business to Business Marketing,BS-MKT-E,3,MKT3610,,
MKT,3750,Multicultural Marketing,BS-MKT-E,3,MKT3750,,
MKT,3810,Electronic Marketing,BS-MKT-E,3,MKT3810,,
MKT,3910,New Product Development,BS-MKT-E,3,MKT3910,,
MKT,3980,Internship,BS-MKT-E,3,MKT3980,,
MKT,4110,Reputation & Brand Management,BS-MKT-E,3,MKT4110,,
MKT,4250,Advanced Selling,BS-MKT-E,3,MKT4250,,
MKT,4520,Seminar in Marketing Management,BS-MKT-E,3,MKT4520,,
ECO,2010,Principles of Economics:Macro,BS-ECO,3,ECO2010,,
ECO,2020,Principles of Economics:Micro,BS-ECO,3,ECO2020,,
ECO,2150,Quantitative Methods on Economics,BS-ECO,3,ECO2150,,
ECO,3010,Intermediate Microeconomic Theory,BS-ECO,3,ECO3010,,
ECO,3020,Intermediate Macroeconomic Theory,BS-ECO,3,ECO3020,,
ECO,3150,Econometrics,BS-ECO,3,ECO3150,,
ECO,4800,Economic Policy Analysis,BS-ECO,3,ECO4800,,
ECO,,Upper-division,BS-ECO-E,3,ECO,,
ECO,,Upper-division,BS-ECO-E,3,ECO,,
ECO,,Upper-division,BS-ECO-E,3,ECO,,
ECO,,Upper-division,BS-ECO-E,3,ECO,,
ECO,,Upper-division,BS-ECO-E,3,ECO,,
ECO,,Upper-division,BS-ECO-E,3,ECO,,